name,platform_x,release_date,meta_score,user_review,platform_y,year,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales
The Legend of Zelda: Ocarina of Time,nintendo 64,"November 23, 1998",99,9.1,nintendo 64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6
Tony Hawk's Pro Skater 2,playstation,"September 20, 2000",98,7.4,playstation,2000,Sports,Activision,3.05,1.41,0.02,0.2,4.68
Grand Theft Auto IV,playstation 3,"April 29, 2008",98,7.7,playstation 3,2008,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57
SoulCalibur,dreamcast,"September 8, 1999",98,8.4,dreamcast,1999,Fighting,Namco Bandai Games,0.0,0.0,0.34,0.0,0.34
Grand Theft Auto IV,xbox 360,"April 29, 2008",98,7.9,xbox 360,2008,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02
Super Mario Galaxy,wii,"November 12, 2007",97,9.1,wii,2007,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52
Super Mario Galaxy 2,wii,"May 23, 2010",97,9.1,wii,2010,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69
Grand Theft Auto V,xbox one,"November 18, 2014",97,7.9,xbox one,2014,Action,Take-Two Interactive,2.66,2.01,0.0,0.41,5.08
Grand Theft Auto V,playstation 3,"September 17, 2013",97,8.3,playstation 3,2013,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4
Grand Theft Auto V,xbox 360,"September 17, 2013",97,8.3,xbox 360,2013,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38
Tony Hawk's Pro Skater 3,playstation 2,"October 28, 2001",97,7.5,playstation 2,2001,Sports,Activision,2.66,1.29,0.01,0.46,4.41
Perfect Dark,nintendo 64,"May 22, 2000",97,8.8,nintendo 64,2000,Action,Nintendo,1.55,0.75,0.16,0.06,2.52
Grand Theft Auto V,playstation 4,"November 18, 2014",97,8.4,playstation 4,2014,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98
Grand Theft Auto III,playstation 2,"October 22, 2001",97,8.4,playstation 2,2001,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1
Halo: Combat Evolved,xbox,"November 14, 2001",97,8.7,xbox,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43
NFL 2K1,dreamcast,"September 7, 2000",97,6.2,dreamcast,2000,Sports,Sega,1.02,0.05,0.0,0.02,1.09
Half-Life 2,pc,"November 16, 2004",96,9.2,pc,2004,Shooter,Vivendi Games,2.28,0.02,0.08,0.0,2.37
Grand Theft Auto V,pc,"April 13, 2015",96,7.8,pc,2015,Action,Take-Two Interactive,0.36,0.64,0.0,0.08,1.08
BioShock,xbox 360,"August 21, 2007",96,9.0,xbox 360,2007,Shooter,Take-Two Interactive,1.65,0.86,0.05,0.28,2.83
GoldenEye 007,nintendo 64,"August 25, 1997",96,9.0,nintendo 64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09
Uncharted 2: Among Thieves,playstation 3,"October 13, 2009",96,8.8,playstation 3,2009,Action,Sony Computer Entertainment,3.27,2.25,0.21,1.0,6.73
The Orange Box,xbox 360,"October 10, 2007",96,9.0,xbox 360,2007,Shooter,Electronic Arts,1.09,0.54,0.02,0.17,1.83
The Orange Box,pc,"October 10, 2007",96,9.3,pc,2007,Shooter,Electronic Arts,0.0,0.11,0.0,0.03,0.14
Batman: Arkham City,playstation 3,"October 18, 2011",96,8.8,playstation 3,2011,Action,Warner Bros. Interactive Entertainment,2.7,1.91,0.11,0.8,5.53
Tekken 3,playstation,"April 29, 1998",96,9.1,playstation,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16
Mass Effect 2,xbox 360,"January 26, 2010",96,8.9,xbox 360,2010,Role-Playing,Electronic Arts,1.99,0.82,0.03,0.27,3.11
The Elder Scrolls V: Skyrim,xbox 360,"November 11, 2011",96,8.6,xbox 360,2011,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84
Half-Life,pc,"November 19, 1998",96,9.1,pc,1997,Shooter,Vivendi Games,4.03,0.0,0.09,0.0,4.12
Resident Evil 4,playstation 2,"October 25, 2005",96,9.0,playstation 2,2005,Action,Capcom,2.08,0.83,0.46,0.25,3.62
Gran Turismo,playstation,"April 30, 1998",96,8.6,playstation,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95
BioShock,pc,"August 21, 2007",96,8.6,pc,2007,Shooter,Take-Two Interactive,0.01,0.39,0.0,0.02,0.41
Metal Gear Solid 2: Sons of Liberty,playstation 2,"November 12, 2001",96,8.8,playstation 2,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05
Grand Theft Auto: San Andreas,playstation 2,"October 26, 2004",95,9.1,playstation 2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81
Grand Theft Auto: Vice City,playstation 2,"October 27, 2002",95,8.8,playstation 2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15
LittleBigPlanet,playstation 3,"October 27, 2008",95,6.8,playstation 3,2008,Platform,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92
Red Dead Redemption,playstation 3,"May 18, 2010",95,8.9,playstation 3,2010,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6
Gran Turismo 3: A-Spec,playstation 2,"July 9, 2001",95,8.4,playstation 2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98
Halo 2,xbox,"November 9, 2004",95,8.7,xbox,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49
The Legend of Zelda: Majora's Mask,nintendo 64,"October 25, 2000",95,9.1,nintendo 64,2000,Action,Nintendo,1.9,0.67,0.73,0.06,3.36
The Last of Us,playstation 3,"June 14, 2013",95,9.2,playstation 3,2013,Action,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01,5.99
The Legend of Zelda: Twilight Princess,wii,"November 19, 2006",95,9.0,wii,2006,Action,Nintendo,3.83,2.19,0.6,0.7,7.31
Madden NFL 2003,playstation 2,"August 12, 2002",95,7.6,playstation 2,2002,Sports,Electronic Arts,3.36,0.21,0.01,0.56,4.14
Portal 2,pc,"April 18, 2011",95,9.1,pc,2011,Shooter,Valve Software,0.33,0.32,0.0,0.11,0.76
Red Dead Redemption,xbox 360,"May 18, 2010",95,9.0,xbox 360,2010,Action,Take-Two Interactive,3.7,1.97,0.09,0.57,6.34
Portal 2,xbox 360,"April 19, 2011",95,8.8,xbox 360,2011,Shooter,Valve Software,1.41,0.51,0.01,0.17,2.1
Metal Gear Solid V: The Phantom Pain,xbox one,"September 1, 2015",95,7.5,xbox one,2015,Action,Konami Digital Entertainment,0.37,0.26,0.01,0.06,0.71
Portal 2,playstation 3,"April 19, 2011",95,8.7,playstation 3,2011,Shooter,Valve,0.83,0.63,0.02,0.25,1.74
The Elder Scrolls V: Skyrim,pc,"November 10, 2011",94,8.4,pc,2011,Role-Playing,Bethesda Softworks,1.15,2.09,0.0,0.64,3.88
BioShock Infinite,playstation 3,"March 26, 2013",94,8.5,playstation 3,2013,Shooter,Take-Two Interactive,0.72,0.69,0.04,0.31,1.76
Final Fantasy IX,playstation,"November 13, 2000",94,9.0,playstation,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3
Call of Duty: Modern Warfare 2,playstation 3,"November 10, 2009",94,6.6,playstation 3,2009,Shooter,Activision,4.99,3.69,0.38,1.63,10.69
Tony Hawk's Pro Skater 4,playstation 2,"October 23, 2002",94,8.4,playstation 2,2002,Sports,Activision,2.13,1.18,0.01,0.35,3.67
Devil May Cry,playstation 2,"October 16, 2001",94,8.6,playstation 2,2001,Action,Capcom,1.36,0.86,0.64,0.13,2.99
Call of Duty 4: Modern Warfare,playstation 3,"November 5, 2007",94,8.4,playstation 3,2007,Shooter,Activision,3.1,2.3,0.28,1.04,6.72
Madden NFL 2002,playstation 2,"August 19, 2001",94,7.3,playstation 2,2001,Sports,Electronic Arts,2.5,0.16,0.01,0.42,3.08
Batman: Arkham City,xbox 360,"October 18, 2011",94,8.8,xbox 360,2011,Action,Warner Bros. Interactive Entertainment,2.99,1.31,0.04,0.41,4.76
Mass Effect 2,pc,"January 26, 2010",94,8.9,pc,2010,Role-Playing,Electronic Arts,0.01,0.32,0.0,0.07,0.4
Chrono Cross,playstation,"August 15, 2000",94,8.8,playstation,1999,Role-Playing,SquareSoft,0.62,0.42,0.69,0.12,1.86
BioShock,playstation 3,"October 21, 2008",94,8.9,playstation 3,2008,Shooter,Take-Two Interactive,0.75,0.49,0.01,0.21,1.45
Mass Effect 2,playstation 3,"January 17, 2011",94,8.7,playstation 3,2011,Role-Playing,Electronic Arts,0.78,0.47,0.03,0.2,1.48
Grand Theft Auto: Vice City,pc,"May 12, 2003",94,8.8,pc,2003,Action,Take-Two Interactive,0.0,0.03,0.0,0.01,0.04
Gears of War,xbox 360,"November 7, 2006",94,8.4,xbox 360,2006,Shooter,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.11
The Elder Scrolls IV: Oblivion,xbox 360,"March 20, 2006",94,8.7,xbox 360,2006,Role-Playing,Take-Two Interactive,2.82,1.05,0.13,0.4,4.39
Call of Duty 4: Modern Warfare,xbox 360,"November 5, 2007",94,8.5,xbox 360,2007,Shooter,Activision,5.91,2.38,0.13,0.9,9.32
BioShock Infinite,pc,"March 25, 2013",94,8.6,pc,2013,Shooter,Take-Two Interactive,0.28,0.3,0.0,0.08,0.67
Halo 3,xbox 360,"September 25, 2007",94,8.1,xbox 360,2007,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14
Ninja Gaiden Black,xbox,"September 20, 2005",94,8.8,xbox,2005,Action,Microsoft Game Studios,0.07,0.02,0.0,0.0,0.09
The Elder Scrolls IV: Oblivion,pc,"March 20, 2006",94,8.2,pc,2006,Role-Playing,Take-Two Interactive,0.01,0.2,0.0,0.05,0.26
Street Fighter IV,playstation 3,"February 17, 2009",94,7.4,playstation 3,2009,Fighting,Capcom,2.02,1.06,0.58,0.53,4.19
Metal Gear Solid,playstation,"October 21, 1998",94,9.2,playstation,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03
Burnout 3: Takedown,xbox,"September 7, 2004",94,7.7,xbox,2004,Racing,Electronic Arts,0.84,0.43,0.0,0.04,1.31
Diablo,pc,"December 31, 1996",94,8.7,pc,1996,Role-Playing,Activision,0.01,1.58,0.0,0.0,1.59
Metal Gear Solid 3: Subsistence,playstation 2,"March 14, 2006",94,9.1,playstation 2,2005,Action,Konami Digital Entertainment,0.34,0.01,0.15,0.06,0.55
Call of Duty: Modern Warfare 2,xbox 360,"November 10, 2009",94,6.6,xbox 360,2009,Shooter,Activision,8.52,3.63,0.08,1.29,13.51
Metal Gear Solid 4: Guns of the Patriots,playstation 3,"June 12, 2008",94,8.8,playstation 3,2008,Action,Konami Digital Entertainment,2.63,1.74,0.83,0.83,6.03
NCAA Football 2004,playstation 2,"July 16, 2003",94,8.3,playstation 2,2003,Sports,Electronic Arts,1.35,0.09,0.0,0.23,1.67
God of War,playstation 2,"March 22, 2005",94,8.9,playstation 2,2005,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45
Star Wars: Knights of the Old Republic,xbox,"July 17, 2003",94,9.1,xbox,2003,Role-Playing,Activision,1.68,0.44,0.0,0.08,2.19
Sid Meier's Civilization IV,pc,"October 25, 2005",94,8.2,pc,2005,Strategy,Take-Two Interactive,0.02,0.12,0.0,0.03,0.17
Virtua Fighter 4,playstation 2,"March 17, 2002",94,8.1,playstation 2,2002,Fighting,Sega,0.78,0.44,0.56,0.04,1.81
Super Mario 64,nintendo 64,"September 26, 1996",94,9.1,nintendo 64,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89
The Witcher 3: Wild Hunt,pc,"May 18, 2015",93,9.4,pc,2015,Role-Playing,Namco Bandai Games,0.2,0.42,0.0,0.05,0.67
Burnout 3: Takedown,playstation 2,"September 7, 2004",93,9.0,playstation 2,2004,Racing,Electronic Arts,1.23,1.11,0.0,0.34,2.68
Super Smash Bros. Brawl,wii,"March 9, 2008",93,8.8,wii,2008,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04
Company of Heroes,pc,"September 13, 2006",93,8.7,pc,2006,Strategy,THQ,0.0,0.04,0.0,0.01,0.05
Gran Turismo 2,playstation,"November 30, 1999",93,9.0,playstation,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49
Street Fighter Alpha 3,playstation,"April 30, 1999",93,8.6,playstation,1998,Fighting,Virgin Interactive,0.38,0.12,0.51,0.02,1.03
Tony Hawk's Pro Skater 3,xbox,"March 4, 2002",93,7.7,xbox,2002,Sports,Activision,0.34,0.18,0.0,0.02,0.55
